Articlenumber;Short description;Short description 2;Long description;Language
S-1124F-A;STYcutter 1124F-A – unser Einstiegsmodell mit Hand und Fuß;;Die STYcutter 1124F-A – unser Einstiegsmodell mit Hand und Fuß\n\nDie STYcutter 1124F-A hat im Gegensatz zur STYcutter 1124-A einen neuen, stabilen, geschweißten Stand-Schwenk-Fuß und optional einen dritten Standfuß. Eine Gerüstschelle ist ebenfalls optional erhältlich. Darüber hinaus bietet Ihnen die STYcutter 1124F-A eine auf der rechten Seite montierte Zusatzplatte um das geschnittene Material am Herunterfallen zu hindern.\nDie STYcutter 1124F-A ist in Ihrem Aufbau auf das Wesentlichste reduziert, bietet aber dennoch aus Edelstahl und Aluminium gefertigte Qualitätsanbauteile. Sie besitzt alle nötigen Funktionen für einen schnellen und präzisen Arbeitsablauf bei geringen Abmaßen.\n\n\nDer Betrieb mit 18V Li-Ion Akku ermöglicht das Arbeiten unabhängig von Steckdose und Kabeltrommel. Durch den Einsatz der AmpShare powered by BOSCH Akku-Technologie sind die Akkus zu AmpShare-Partner-Geräten kompatibel. Mit den Marken der Allianzpartner erschließen wir unseren Kunden deren Maschinenvielfalt und die Nutzung des gleichen Akkusystems.;de
S-1310-A;STYcutter 1310-A – Der Allrounder;;Die STYcutter 1310  – Der Allrounder\n\n\nUm den Anforderungen der Verarbeiter gerecht zu werden, bzw. deren Arbeit mit der Maschine zu erleichtern, wurde die STYcutter 1310-A entwickelt. Die STYcutter 1310-A wurde\nmit einer zweiten Auflagefläche mit Skala und Schrägschnitteinstellung versehen.\nDer neue geschweißte Stand-Schwenk-Fuß ist äußerst stabil und einfach zu bedienen. Die gewohnten Details, wie z.B. Wiederhol-Tiefenanschlag, Speicherschraube, inverse\nDrahtaufhängung u.v.m. wurden selbstverständlich beibehalten und runden die Funktionen der STYcutter1310-A für den täglichen Profieinsatz ab.\nEine Gerüstschelle ist optional beziehbar.\n\n\nDer Betrieb mit 18V Li-Ion Akku ermöglicht das Arbeiten unabhängig von Steckdose und Kabeltrommel. Durch den Einsatz der AmpShare powered by BOSCH Akku-Technologie\nsind die Akkus zu AmpShare-Partner-Geräten kompatibel.\nMit den Marken der Allianzpartner erschließen wir unseren Kunden deren Maschinenvielfalt und die Nutzung des gleichen Akkusystems.;de
S-1310RW-A;STYcutter 1310RW-A – Der Allrounder;;Die STYcutter 1310RW-A  – Der Allrounder\n\n\nDer Allrounder - die STYcutter 1310RW-A - verfügt über zwei gleichgroße Grundplatten mit Winkelskalen für beide Auflagewinkel. Desweiteren ist es möglich, den Schneidebügel sowohl links- als auch rechtsschwenkend zu bedienen. Der Arbeitsbereich des Hauptsschneidebügels für Gehrungsschnitte erstreckt sich somit von 45° - 135°.\nDer neue geschweißte Stand-Schwenk-Fuß ist äußerst stabil und einfach zu bedienen. Die gewohnten Details, wie z.B. Wiederhol-Tiefenanschlag, Speicherschraube, inverse Drahtaufhängung u.v.m. wurden selbstverständlich beibehalten und runden die Funktionen der STYcutter1310RW-A für den täglichen Profieinsatz ab.\nEine Gerüstschelle ist optional beziehbar.\n\n\nDer Betrieb mit 18V Li-Ion Akku ermöglicht das Arbeiten unabhängig von Steckdose und Kabeltrommel. Durch den Einsatz der AmpShare powered by BOSCH Akku-Technologie sind die Akkus zu AmpShare-Partner-Geräten kompatibel.\nMit den Marken der Allianzpartner erschließen wir unseren Kunden deren Maschinenvielfalt und die Nutzung des gleichen Akkusystems.;de
S-1310SD-A;STYcutter 1310SD-A – bewährte Qualität;;Um den Anforderungen der Verarbeiter gerecht zu werden, bzw. deren Arbeit mit der Maschine zu erleichtern, wurde die STYcutter 1310SD-A entwickelt. Die STYcutter 1310SD-A\nwurde mit einer zweiten Auflagefläche mit Skala und Schrägschnitteinstellung versehen.\nDer neue geschweißte Stand-Schwenk-Fuß ist äußerst stabil und einfach zu bedienen. Die gewohnten Details, wie z.B. Wiederhol-Tiefenanschlag, Speicherschraube, inverse Drahtaufhängung u.v.m. wurden selbstverständlich beibehalten und runden die Funktionen der STYcutter1310SD-A für den täglichen Profieinsatz ab.\nEine Gerüstschelle ist optional beziehbar.\n\n\nDer Betrieb mit 18V Li-Ion Akku ermöglicht das Arbeiten unabhängig von Steckdose und Kabeltrommel. Durch den Einsatz der AmpShare powered by BOSCH Akku-Technologie\nsind die Akkus zu AmpShare-Partner-Geräten kompatibel.\nMit den Marken der Allianzpartner erschließen wir unseren Kunden deren Maschinenvielfalt und die Nutzung des gleichen Akkusystems.;de
S-UL55-22-K;STYcutter UL55-22-K im Koffer – wenn mobil, dann richtig!;;Die STYcutter UL55-22-K – wenn mobil, dann richtig!\n\nDie STYcutter UL55-22 wurde entwickelt, um die gängigsten Schnitte bei der Fassadenverkleidung zu ermöglichen und dennoch handlich und mobil zu sein.\nMit ihrem Gesamtgewicht von 3,9kg (ohne Akku, Ladegerät & Koffer) und ihren Maßen, kaum größer als ein Aktenkoffer, ist sie mobil und in kürzester Zeit einsatzbereit.\nKabellose Freiheit sorgt für freie Verkehrswege und verminderte Unfallgefahren auf dem Gerüst.\nGeschnitten wird direkt auf Ihrem Material (Styroporstapel), damit kostbarer Platz auf dem Gerüst nicht verschwendet wird. Um das Anschneiden der nächsten Platte\ndes Styroporstapels zu verhindern und wiederkehrende Nutenschnitte zu ermöglichen, kann die Schnitttiefe mittels Anschlag begrenzt werden.\nDank des abnehmbaren Rollbandmaßes, messen Sie Ihre Schnitte für die STYcutter UL55-22 und haben darüber hinaus stets ein Meßwerkzeug parat.;de
S-UL55-22-KA;STYcutter UL55-22-KA im Koffer mit Akkus und Ladegerät – wenn mobil, dann richtig!;;Die STYcutter UL55-22-KA – wenn mobil, dann richtig!\n\nDie STYcutter UL55-22 wurde entwickelt, um die gängigsten Schnitte bei der Fassadenverkleidung zu ermöglichen und dennoch handlich und mobil zu sein.\nMit ihrem Gesamtgewicht von 3,9kg (ohne Akku) und ihren Maßen, kaum größer als ein Aktenkoffer, ist sie mobil und in kürzester Zeit einsatzbereit.\nKabellose Freiheit sorgt für freie Verkehrswege und verminderte Unfallgefahren auf dem Gerüst.\nGeschnitten wird direkt auf Ihrem Material (Styroporstapel), damit kostbarer Platz auf dem Gerüst nicht verschwendet wird. Um das Anschneiden der nächsten Platte\ndes Styroporstapels zu verhindern und wiederkehrende Nutenschnitte zu ermöglichen, kann die Schnitttiefe mittels Anschlag begrenzt werden.\nDank des abnehmbaren Rollbandmaßes, messen Sie Ihre Schnitte für die STYcutter UL55-22 und haben darüber hinaus stets ein Meßwerkzeug parat.;de
A010.00115;EL33 Zero;;Der EL33 Zero ist ein revolutionärer Steintrenner, der von einem leistungsstarken 18-V-Akku angetrieben wird. Dank seiner beeindruckenden Spaltkraft von 10.000 kg können Sie mit nur einem Knopfdruck mühelos Steine ​​spalten.\nDieser innovative Steintrenner wurde mit Blick auf Ihre Bequemlichkeit entwickelt und verfügt über einen einziehbaren Griff, der ihn leicht tragbar macht. Darüber hinaus lässt sich die Schnitthöhe mit nur einer Spindel leicht einstellen, sodass Sie Ihre Steine ​​präzise auf die gewünschte Größe spalten können.\nLernen Sie mit dem EL33 Zero die Zukunft des Steintrenners kennen - effizient, leistungsstark und benutzerfreundlich.;de
06016B4000;Akku-Tauchsäge BITURBO GKT 18V-52 GC in L-BOXX;GKT 18V-52 GC (L) solo CLC;Akku-Tauchsäge BITURBO GKT 18V-52 GC, Die Akku-Tauchsäge GKT 18V-52 GC Professional aus dem 18V-Sortiment von Bosch bietet die Leistung eines Netzgeräts und ist extrem kompakt. Ihre innovative BITURBO Brushless-Technologie mit bürstenlosem Hochleistungsmotor und ProCORE18V liefert maximale kabellose Schnittleistung auf demselben Niveau wie entsprechende kabelgebundene Tauchsägen mit 1.620 Watt. Dank ihres einzigartigen kompakten Designs, das den Betrieb mit nur einem Akku ermöglicht, bietet die Säge höchste Mobilität. Ihre sehr kompakte Bauform ermöglicht einen minimalen Abstand von nur 10 mm zwischen Sägeblatt und Wand. Diese Tauchsäge eignet sich für Tauchschnitte in Holz, Holzverbundwerkstoffen, Platten und Plattenwerkstoffen sowie in Aluminium und Acrylglas. Es kann mit Staubsack verwendet werden und ist kompatibel mit dem Bosch Click & Clean System und den Führungsschienensystemen von Bosch, Festool, Mafell und Makita sowie mit allen Bosch Professional 18V-Akkus und -Ladegeräten (Professional 18V System). Für maximale Leistung ProCORE18V ≥ 5,5 Ah verwenden. Auch kompatibel mit AMPShare, der markenübergreifenden Akku-Allianz. Die GKT 18V-52 GC Professional zeichnet sich zudem durch konstante Drehzahl, Eco-Modus für eine bis zu 20 % längere Laufzeit, HMI, individuelle Drehzahleinstellung per App, Überlastschutz, Wiederanlaufschutz, Sanftanlauf und Spindelarretierung aus. 1 x Kreissägeblatt, Expert for Wood für Akku-Sägen, 140 x 1,8/1,3 x 20 mm, 42 (2 608 644 500). L-BOXX 238 (1 600 A01 2G2). Staubbeutel (2 608 000 696). 1 x Bluetooth Low Energy Modul GCY 42 Professional (1 600 A01 3WF). Innensechskantschlüssel;de
06019J4002;Akku-Winkelschleifer GWS 18V-10, 125 mm,;GWS 18V-10 (C, 125 mm) CLC;Akku-Winkelschleifer GWS 18V-10, Der kleine Akku-Winkelschleifer GWS 18V-10 Professional bietet verbesserte Leistungsfähigkeit und Werkzeugkontrolle in der 18V-Kategorie. Er bietet dank dem leistungsstarken bürstenlosen Motor und der ProCORE18V-Akkutechnologie über den Akku dieselbe Leistung wie ein kabelgebundener Schleifer mit 1.000 Watt. Dank Drop Control, KickBack Control und Intelligent Brake System bietet dieser kleine Winkelschleifer höheren Anwenderschutz und mehr Komfort. Er verfügt weltweit über die erste Drop Control-Funktion, über die der Schleifer nach einem versehentlichen Sturz auf den Boden sofort ausgeschaltet wird. Dieses Werkzeug eignet sich zum Schneiden und Abschleifen von Metall, Stein und Beton. Das Gerät ist kompatibel mit allen Bosch Professional 18V-Akkus und -Ladegeräten (Professional 18V System). Auch kompatibel mit AMPShare, der markenübergreifenden Akku-Allianz. Der GWS 18V-10 Professional verfügt auch über eine Schnellspannmutter. Aufnahmeflansch (ET-Nr. 2 605 703 014). Schnellspannmutter (2 608 000 684). Schutzhaube (1 605 510 365). Karton;de
06019H6000;Akku-Winkelschleifer BITURBO GWS 18V-15 C;GWS 18V-15 C 125 mm (L) solo CLC;Akku-Winkelschleifer BITURBO GWS 18V-15 C, Der GWS 18V-15 C Professional ist der leistungsstarke Akku-Schleifer von Bosch im 18-V-Segment mit Leistungskapazität für industrielle Anwendungen. Dank seines starken, umfassend für die ProCORE18V-Akkutechnologie optimierten bürstenlosen Motors stellt er eine Akkuleistung entsprechend der Leistungsstärke eines kabelgebundenen Geräts mit 1.500 W bereit. Das Werkzeug kann mit einem optionalen Bluetooth Connectivity-Modul nachgerüstet werden. Ausgestattet mit KickBack Control, Drop Control, Intelligent Brake System und einer werkzeuglosen Schnellspannmutter bietet dieser Schleifer umfassende Werkzeugführung. Ist geeignet zum Abschleifen und Trennen von Metall. Kompatibel mit allen Bosch Professional 18V-Akkus und -Ladegeräten (Professional 18V System) – maximale Leistung mit ProCORE18V = 8,0 Ah – sowie mit den Absaughauben GDE 115/125 FC-T Professional und GDE 125 EA-T Professional. Auch kompatibel mit AMPShare, der markenübergreifenden Akku-Allianz. Der GWS 18V-15 C Professional zeichnet sich zudem durch konstante Drehzahl, Überlastschutz, eine schlüssellose Schutzhaube, Wiederanlaufschutz, Sanftanlauf und Vibration Control aus. Aufnahmeflansch (ET-Nr. 2 605 703 014). L-BOXX 136 (1 600 A01 2G0). Schutzhaube (1 605 510 365). Zusatzhandgriff Vibration Control (2 602 025 171). Schnellspannmutter (2 608 000 684);de
