Manufacturernumber;Articlenumber;EAN;Technical details;Product category;Technical specifications;Picture normal reduced;Depth m;Width m;Length m;Weight kg;Delivery time days;Type of product;Price quantity;ETIM Features;ETIM;ECLASS Features;ECLASS;PROFICLASS Features;PROFICLASS;Product features
;S-1124F-A;;§Schnitthöhe§1130§mm|§Schnitttiefe§250§mm|§Gehrung§30-90§grad|§Gewicht komplett§11.4000000000000§kg|§Stromversorgung§18§V|§Grundplatte§Siebdruckplatte§;;;'https://www.nexmart.com/media/catalog/ampshare/front-ampshare.jpg/normal.jpg;0.28;0.67;1.4;11.4;;;1;;;;;;;
;S-1310-A;;§Schnitthöhe§1130§mm|§Schnitttiefe§310§mm|§Gehrung§30-90§grad|§Gewicht komplett§13.6000000000000§kg|§Stromversorgung§18§V|§Grundplatte§Birke Mehrschicht, lackiert§;;;'https://www.nexmart.com/media/catalog/ampshare/front-ampshare-1.jpg/normal.jpg;0.28;0.67;1.4;13.6;;;1;;;;;;;
;S-1310RW-A;;§Schnitthöhe§1130§mm|§Schnitttiefe§310§mm|§Gehrung§45– 90 – 135§grad|§Gewicht komplett§14.6000000000000§kg|§Stromversorgung§18§V|§Grundplatte§Siebdruckplatte§;;;'https://www.nexmart.com/media/catalog/ampshare/front-ampshare-3.jpg/normal.jpg;0.28;0.67;1.4;14.6;;;1;;;;;;;
;S-1310SD-A;;§Schnitthöhe§1130§mm|§Schnitttiefe§310§mm|§Gehrung§30-90§grad|§Gewicht komplett§13.6000000000000§kg|§Stromversorgung§18§V|§Grundplatte§Siebdruckplatte§;;;'https://www.nexmart.com/media/catalog/ampshare/front-ampshare-2.jpg/normal.jpg;0.28;0.67;1.4;13.6;;;1;;;;;;;
;S-UL55-22-K;;§Schnitthöhe§550§mm|§Schnitttiefe§220§mm|§Gehrung§45-90§grad|§Gewicht komplett§3.90000000000000§kg|§Stromversorgung§18§V|§Grundplatte§Edelstahl§;;;'https://www.nexmart.com/media/catalog/ampshare/888_ul55-22_k_front_2.png/normal.png;0.19;0.45;0.86;3.9;;;1;;;;;;;
;S-UL55-22-KA;;§Schnitthöhe§550§mm|§Schnitttiefe§220§mm|§Gehrung§45-90§grad|§Gewicht komplett§3.90000000000000§kg|§Stromversorgung§18§V|§Grundplatte§Edelstahl§;;;'https://www.nexmart.com/media/catalog/ampshare/ul55-22-ka-front-1.png/normal.png;0.19;0.45;0.86;3.9;;;1;;;;;;;
;A010.00115;;§Spaltkraft§10§Ton|§Schnittbreite§330§mm|§Schnitthöhe§20-120 mm§mm|§Messer§4-seitig verwendbar§|§Auflageplatten§1x feste Auflageplatte, 1 x gefederte Auflageplatte§|§Geeignet für§Pflasterklinker, Granitpflaster, Betonpflaster, Verbundsteine§;;;'https://www.nexmart.com/media/catalog/ampshare/el33-1__1_.png/normal.png;0.76;0.45;0.55;66.0;;;1;;;;;;;
0 601 6B4 000;06016B4000;None;§Titel§Akku-Tauchsäge BITURBO GKT 18V-52 GC Professional§|§Neuheit bis§01.08.2020§|§SOL Datum§01.05.2020§|§Verpackungsabmessungen (Breite)§360§mm|§Verpackungsabmessungen (Länge)§444§mm|§Verpackungsabmessungen (Höhe)§254§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§360 x 444 x 254§mm|§Akkuspannung§18,0 V§|§Sägeblattbohrungs-Ø§20§mm|§Leerlaufdrehzahl, von§2.800§min-1|§Leerlaufdrehzahl, bis zu§5.500§min-1|§Leerlaufdrehzahl§2.800 – 5.500§min-1|§Gewicht exkl. Akku§4,1§kg|§Sägeblattdurchmesser§140§mm|§Führungsplatte (Länge)§305§mm|§Führungsplatte (Breite)§169§mm|§Führungsplatte§305 x 169§mm|§Neigungswinkel, von§-1§°|§Neigungswinkel, bis§47§°|§Neigungswinkel§-1 - 47§°|§Werkzeugabmessungen (Breite)§209§mm|§Werkzeugabmessungen (Länge)§374§mm|§Werkzeugabmessungen (Höhe)§234§mm|§Schnitttiefe ohne Führungsschiene (90°)§52§mm|§Schnitttiefe mit Führungsschiene (90°)§46§mm|§Schnitttiefe ohne Führungsschiene (45°)§32§mm|§Schnitttiefe mit Führungsschiene (45°)§32§mm|§Unterteilung der Produktkategorien§Akku-Tauchsäge BITURBO§;;;'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-298552-117_jpg/detail.jpg/normal.jpg;0.254;0.36;0.444;4.032;;main_product;1;;;;;;;
0 601 9J4 002;06019J4002;None;§Titel§Akku-Winkelschleifer GWS 18V-10 Professional§|§Neuheit bis§01.08.2020§|§Verpackungsabmessungen (Breite)§160§mm|§Verpackungsabmessungen (Länge)§395§mm|§Verpackungsabmessungen (Höhe)§135§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§160 x 395 x 135§mm|§Akkuspannung§18,0 V§|§Leerlaufdrehzahl, bis zu§9.000§min-1|§Leerlaufdrehzahl§9.000§min-1|§Schleifspindelgewinde§M14§|§Gewicht exkl. Akku§2,1§kg|§Scheiben-Ø§125§mm|§Unterteilung der Produktkategorien§Akku-Winkelschleifer§;;;'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-318277-117_jpg/detail.jpg/normal.jpg;0.135;0.16;0.395;1.424;;main_product;1;;;;;;;
0 601 9H6 000;06019H6000;None;§Titel§Akku-Winkelschleifer BITURBO GWS 18V-15 C Professional§|§Neuheit bis§15.11.2020§|§Verpackungsabmessungen (Breite)§100§mm|§Verpackungsabmessungen (Länge)§150§mm|§Verpackungsabmessungen (Höhe)§100§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§100 x 150 x 100§mm|§Akkuspannung§18,0 V§|§Gewicht inkl. Akku§3,2§kg|§Leerlaufdrehzahl, bis zu§9.800§min-1|§Leerlaufdrehzahl§9.800§min-1|§Schleifspindelgewinde§M14§|§Bohrung, Ø§22,2§mm|§Gewicht exkl. Akku§2,2§kg|§Scheiben-Ø§125§mm|§Unterteilung der Produktkategorien§Akku-Winkelschleifer BITURBO§;;;'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-292812-117_jpg/detail.jpg/normal.jpg;0.1;0.1;0.15;2.3;;main_product;1;;;;;;;
0 601 9H6 100;06019H6100;None;§Titel§Akku-Winkelschleifer BITURBO GWS 18V-15 SC Professional§|§Neuheit bis§15.11.2020§|§Verpackungsabmessungen (Breite)§360§mm|§Verpackungsabmessungen (Länge)§440§mm|§Verpackungsabmessungen (Höhe)§155§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§360 x 440 x 155§mm|§Akkuspannung§18,0 V§|§Gewicht inkl. Akku§3,2§kg|§Leerlaufdrehzahl, von§3.400§min-1|§Leerlaufdrehzahl, bis zu§9.800§min-1|§Leerlaufdrehzahl§3.400 – 9.800§min-1|§Schleifspindelgewinde§M14§|§Bohrung, Ø§22,2§mm|§Gewicht exkl. Akku§2,3§kg|§Scheiben-Ø§125§mm|§Unterteilung der Produktkategorien§Akku-Winkelschleifer BITURBO§;;;'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-293532-117_jpg/detail.jpg/normal.jpg;0.155;0.36;0.44;1.745;;main_product;1;;;;;;;
0 601 9H6 300;06019H6300;None;§Titel§Akku-Winkelschleifer BITURBO GWS 18V-15 SC Professional§|§Neuheit bis§15.11.2020§|§Verpackungsabmessungen (Breite)§360§mm|§Verpackungsabmessungen (Länge)§442§mm|§Verpackungsabmessungen (Höhe)§152§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§360 x 442 x 152§mm|§Akkuspannung§18,0 V§|§Gewicht inkl. Akku§3,3§kg|§Leerlaufdrehzahl, von§2.600§min-1|§Leerlaufdrehzahl, bis zu§7.400§min-1|§Leerlaufdrehzahl§2.600 – 7.400§min-1|§Schleifspindelgewinde§M14§|§Bohrung, Ø§22,2§mm|§Gewicht exkl. Akku§2,3§kg|§Scheiben-Ø§150§mm|§Unterteilung der Produktkategorien§Akku-Winkelschleifer BITURBO§;;;'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-293532-117_jpg/detail.jpg/normal.jpg;0.152;0.36;0.442;1.78;;main_product;1;;;;;;;
0 601 9H6 400;06019H6400;None;§Titel§Akku-Winkelschleifer BITURBO mit X-LOCK GWX 18V-15 C Professional§|§Neuheit bis§01.07.2020§|§Verpackungsabmessungen (Breite)§360§mm|§Verpackungsabmessungen (Länge)§450§mm|§Verpackungsabmessungen (Höhe)§155§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§360 x 450 x 155§mm|§Akkuspannung§18,0 V§|§Gewicht inkl. Akku§3,3§kg|§Leerlaufdrehzahl, bis zu§9.800§min-1|§Leerlaufdrehzahl§9.800§min-1|§Gewicht exkl. Akku§2,3§kg|§Scheiben-Ø§125§mm|§Unterteilung der Produktkategorien§Akku-Winkelschleifer BITURBO mit X-LOCK§;;;'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-304190-117_jpg/detail.jpg/normal.jpg;0.155;0.36;0.45;1.865;;main_product;1;;;;;;;
